upload_date	period	course	tags	title	url	views
20260521			コプター|カメラ系|非GPS|大型/産業機|自律/ミッション|測量/点検	APDC in KAGA (加賀）（年１のArduPilotグローバルエンジニア会議）での「Indoor autoフライト Demo」　#ドローンエンジニア #自律飛行 #UAV	https://www.youtube.com/watch?v=co8qLUNDZh0	30
20260206	20	3	機体製作(ハード)|プログラムチャレンジ|大型/産業機|障害物回避	ドローンエンジニア養成塾 第２０期 コース３　大田さんインタビュー	https://www.youtube.com/watch?v=6QNbOwC3-tY	58
20260206	20	3	機体製作(ハード)|プログラムチャレンジ|Web系|自律/ミッション|シミュレータ	ドローンエンジニア養成塾 第２０期 コース３　野田さんインタビュー	https://www.youtube.com/watch?v=F4S6WC1g8qg	58
20260206	20	2	機体製作(ハード)|カメラ系|Web系|障害物回避	ドローンエンジニア養成塾 第２０期 コース２　中村さんインタビュー	https://www.youtube.com/watch?v=tjp-xC8Dhhc	48
20260206	20	2	プログラムチャレンジ|大型/産業機|測量/点検	ドローンエンジニア養成塾 第２０期 コース２　松下さんインタビュー	https://www.youtube.com/watch?v=tK7TAFMUPQA	72
20260206	20	1	自律/ミッション	ドローンエンジニア養成塾 第２０期 コース１　青田さんインタビュー	https://www.youtube.com/watch?v=hUGYFKFipaA	66
20251223	20		コプター|機体製作(ハード)|プログラムチャレンジ|自律/ミッション|測量/点検	ドローンエンジニア養成塾 第２０期 保木井さん	https://www.youtube.com/watch?v=DXzYVHZrKKs	36
20251223	20		コプター|機体製作(ハード)|プログラムチャレンジ|自律/ミッション|シミュレータ	ドローンエンジニア養成塾 第２０期 大田さん  ２/２	https://www.youtube.com/watch?v=ly86PQhaAVE	34
20251223	20		ローバー|機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|障害物回避	ドローンエンジニア養成塾 第２０期 中村さん  2/2	https://www.youtube.com/watch?v=vkeo2WP8e3w	37
20251223	20		ローバー|機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|コンパニオン|自律/ミッション|障害物回避	ドローンエンジニア養成塾 第２０期 中村さん  1/2	https://www.youtube.com/watch?v=746AVacsMC0	34
20250927			機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|コンパニオン|自律/ミッション|シミュレータ|AI/機械学習	Zoom ウェビナー　「ドローンオープンソース x AI が創るイノベーション」	https://www.youtube.com/watch?v=RBz5lvz_x2Q	252
20250808	19	3	機体製作(ハード)|プログラムチャレンジ	ドローンエンジニア養成塾１９期　コース３インタビュー　稲垣さん	https://www.youtube.com/watch?v=wGrRoYCjtZs	41
20250808	19	2	機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|コンパニオン	ドローンエンジニア養成塾１９期　コース２インタビュー　大田さん	https://www.youtube.com/watch?v=_2juFlQOzRQ	23
20250808	19	1	機体製作(ハード)|カメラ系|障害物回避	ドローンエンジニア養成塾１９期　コース１＆２ インタビュー　長力さん	https://www.youtube.com/watch?v=FPQLw0v1VWA	54
20250808	10		コプター|障害物回避	ドローンエンジニア養成塾 第10期  講師デモ 藤川さん (2020/10/31 軽井沢キックオフ)	https://www.youtube.com/watch?v=Lz7_06fkYqo	40
20250808	10		コプター|機体製作(ハード)|プログラムチャレンジ|自律/ミッション|測量/点検	ドローンエンジニア養成塾 第10期  講師デモ 高山さん (2020/10/31 軽井沢キックオフ)	https://www.youtube.com/watch?v=rcOaQoxyY54	32
20250808	10		プログラムチャレンジ|自律/ミッション	ドローンエンジニア養成塾 第10期  講師デモ 川村さん (2020/10/31 軽井沢キックオフ)	https://www.youtube.com/watch?v=UFNnNiCpS-c	16
20250808	10		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY１ 渋谷さん1/2	https://www.youtube.com/watch?v=vM3Xu7XGtfE	18
20250808	10		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY１ 渋谷さん2/2	https://www.youtube.com/watch?v=QxqfTzw4mtc	18
20250808	10		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY2 庄司さん1/2	https://www.youtube.com/watch?v=QAmWUanPboU	7
20250808	10		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY2 庄司さん2/2	https://www.youtube.com/watch?v=44lgrDP-AY4	10
20250808	10		コプター|機体製作(ハード)|障害物回避|測量/点検	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY3 鈴木健太さん1/2	https://www.youtube.com/watch?v=bjRtgYPtSqg	7
20250808	10		コプター|機体製作(ハード)|障害物回避|測量/点検	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY3 鈴木健太さん 2/2	https://www.youtube.com/watch?v=VqgObGtAa4M	8
